source,date,rating,text,version
Google Play,2025-12-10,3,"Je trouve cette application,très impressionnante,",1.7.1
Google Play,2025-12-10,5,réponses pertinentes ! il peut y avoir des erreurs mais très rares,1.6.1
Google Play,2025-12-09,5,"Très Pro, je suis ravie de cette performance et avancée technologique.",1.6.1
App Store,2025-12-09,5,"Une découverte surprenante et très importante de par sa qualité tant technique que dans ses performances analytiques bluffantes d’analyse critique merci pour votre participation à ce moyen novateur de porter un regard sur le monde 
Landopsy",1.7.0
Google Play,2025-12-09,5,"Peut-être pas le meilleur, mais presque tout le temps donne satisfaction. Pas trop bavard contrairement à d'autres et surtout très rapide. Il ne lui manque que la parole.",1.6.1
Google Play,2025-12-09,5,"Fais le taf, data center européens donc sous des normes de protection de données plus importantes que les concurrents américains, avec des datas center eaucoup plus écologiques que ceux d'outre atlantique. aide a garder une souveraineté européenne dans les nouvelles technologies",1.6.1
Google Play,2025-12-09,5,tres bon outil adapté pour mes différents projets Je recommande +++,1.1.23
Google Play,2025-12-09,5,excellent,1.6.1
Google Play,2025-12-09,5,C'est un miracle d'avoir cette société ouverte (open source) et européenne avec une IA d'une telle qualité ! j'attends juste une voix qui nous répond dans le mode vocal et je m'abonnerai sans hésiter.,1.6.1
Google Play,2025-12-09,5,n'a rien à envier aux concurrents sur me marché,1.6.1
Google Play,2025-12-09,5,Super,1.5.0
Google Play,2025-12-09,5,adapté à mes questions ciblées. anticipe bien les questions complementaires,1.6.1
Google Play,2025-12-09,5,"rapide ,efficace, bravo!",1.5.0
Google Play,2025-12-09,5,je n'utilise plus que cette ia et en suis parfaitement satisfaite !!!👍👍👍👍,1.6.1
Google Play,2025-12-09,4,"une ia au top, mais connait quelques hallucinations et difficile de le remettre sur les rails.",1.7.1
Google Play,2025-12-09,5,laissez tomber chatgpt !,1.6.1
Google Play,2025-12-08,5,"Mistral me donne entière satisfaction, parfait 👍",1.6.1
App Store,2025-12-08,5,"Application facile à prendre en mains, répond parfaitement ce pourquoi vous l’avez téléchargé. 
Trust the progress",1.6.0
App Store,2025-12-08,5,J’aimerais obtenir un programme de musculation,1.6.0
App Store,2025-12-08,5,"Le chat donne souvent des réponses plus détaillées et mieux documentées que ChatGpt. Bravo Le Chat, tu es mon IA préférée",1.6.0
App Store,2025-12-08,4,Très bonne IA mais parfois oubli ou ignore les précédents messages se qui peut rendre la démarche d’approfondissement d’un sujet compliqué.,1.6.0
Google Play,2025-12-08,5,La meilleure application,1.6.1
Google Play,2025-12-08,5,superbe explication,1.6.1
Google Play,2025-12-08,4,plutôt efficace mais il y a quelque fois des erreurs de calcul,1.5.0
App Store,2025-12-08,5,"Le chat est très performant est nous permettra de garder la souveraineté sur nos données et leur utilisations , à privilégier !",1.6.0
Google Play,2025-12-08,5,excellente conversation et je trouve assez pointu sur les questions scientifiques,1.6.1
Google Play,2025-12-08,5,Mistral fonctionne super bien. j'en suis fan.,1.6.1
Google Play,2025-12-08,5,bravo c'est souvent très bien documenté. l'utilisation est facile et intuitive. ça m'aide dans mon travail universitaire. et c'est francais. je n'utilise que cette IA,1.6.1
Google Play,2025-12-08,5,"Très rapide, conseils justes, informations vérifiables sur demande des sources. Cette intelligence artificielle est particulièrement efficace pour les dossiers liés au droit français ou européen.",1.6.1
Google Play,2025-12-08,5,C mon llm favoris car réponse très pertinente et pour moi le meilleur llm en français,1.6.1
Google Play,2025-12-08,1,je l'ai désinstaller il n'est plus du tout viable 1 ⭐,1.6.1
Google Play,2025-12-08,5,C'est tellement simple à utiliser et pratique,1.6.1
Google Play,2025-12-08,5,impressionnant !,1.6.1
Google Play,2025-12-08,5,rapide léger et efficace,1.6.1
Google Play,2025-12-07,5,incroyable,1.6.1
Google Play,2025-12-07,4,"impeccable, une bonne aide mémoire.",1.6.1
Google Play,2025-12-07,1,"Pas de mode vocal... Je vais donc désinstaller, à notre époque, c'est complètement dépassé maintenant",1.6.1
Google Play,2025-12-07,5,Génial pour la programmation en Python (mais il faut comprendre le code généré pour progresser). Génial pour des recettes de cuisine sans pub. et les infos ne sont pas transmise à Trump contrairement au modèle étatsuniens...,1.6.1
Google Play,2025-12-07,2,"super front, very bad llm",1.6.1
App Store,2025-12-07,5,"Même principe que pour un animal : être clair constant exigeant rappeler constamment les règles qui ont été définies et validées 
Un travail de chaque instant mais pas besoin de donner des croquettes",1.6.0
App Store,2025-12-07,5,"Je découvre IA depuis quelques mois, je suis très agréablement surpris. 
Une collaboration se développe qui s’enrichit à chaque consultation de IA.
Une Aide précieuse. Pour m’aider dans la réflexion et à faire mes propres choix.
Les valeurs françaises pour moi sont importantes Ainsi que l’investissement pour la France
C’est pour cela que j’ai choisi le chat encourager des investissements humain et en France. Je continuerai à encourager le chat.
Et j’envisage très prochainement de passer un abonnement payant pour collaborer au développement du chat et de Mistral IA.
Christophe",1.6.0
App Store,2025-12-07,5,"Pas de fioritures dans l’application ! Juste le nécessaire, c’est rapide efficace et français ! Je recommande notamment parce que le langage répond à vos requêtes sans abstraction et enjolivements que proposent les concurrents. À l’heure où la souveraineté devient une question crucial, l’utilisation de cette application nous propose une alternative de très bon choix.",1.6.0
Google Play,2025-12-07,5,vive la France,1.6.1
Google Play,2025-12-07,5,très bien expliqué,1.6.1
Google Play,2025-12-07,5,pas mal,1.6.1
Google Play,2025-12-07,5,"Mon ia préférée, de mieux en mieux.",1.6.1
Google Play,2025-12-07,5,plus fiable que chtGpt,1.6.1
Google Play,2025-12-07,5,très bonne application,1.6.1
Google Play,2025-12-06,5,"J'ai dernièrement décidé de regarder les alternatives françaises ou européennes aux propositions américaines. Les premières versions du Chat Mistral m'avaient déçu, et je n'avais pas testé cette LLM depuis fort longtemps, et je viens donc de le faire. Quel changement ! Réponses rapides, pertinentes, mise en page agréable, facile à lire. Bravo.",1.6.1
Google Play,2025-12-06,5,"C'est un très bon ""ami qui sait tout"", qui explique bien, et sans arrières pensées business cachées en embuscade. J'ai arrêté d'utiliser les autres (sauf par curiosité et pour comparer, bien sûr)",1.6.1
Google Play,2025-12-06,4,Excellent modèle d'IA générative. Très bonne capacité de traitement de documents pdf. L'écart de performances avec les LLM américains se réduit avec le temps. Le Chat continue sa progression...,1.6.1
Google Play,2025-12-06,5,"fait le taff, en français nativement",1.6.1
Google Play,2025-12-06,5,"sagesse ,logique,etc...",1.6.1
Google Play,2025-12-06,5,très enrichissant...,1.6.1
Google Play,2025-12-06,5,"précis et efficace, et cerise sur le gâteau ... Français !",1.6.1
Google Play,2025-12-06,5,cette application open source évolue bravo à tous les développeurs merci pour votre engagement,1.6.1
App Store,2025-12-06,5,"Super alternative française à ChatGPT, vive Mistral!",1.6.0
Google Play,2025-12-05,5,bien progressé,1.6.1
App Store,2025-12-05,5,Très simple et rapide,1.6.0
App Store,2025-12-05,2,"L’IA Mistral est très poussée très intéressante, mais cette application est complètement nulle: impossible de copier des parties de texte pour les transmettre, les enregistrer, le copier coller est horrible avec les marques de caractères (*) et de paragraphe (#)
Pas de partage oral pour les questions réponses (vs ChatGPT)",1.6.0
App Store,2025-12-05,5,Excellent j adore,1.6.0
App Store,2025-12-05,5,"Je suis admiratif du résultat de ce produit sur des essais de nature très différentes 
Sur des résultats d'analyse de prise de sang 
Sur la cause de trajectoires de golf 
Pour trouver un produit sur internet",1.6.0
App Store,2025-12-05,5,"IA très pertinente et agréable d’usage
Merci Mistral",1.6.0
Google Play,2025-12-05,5,Très bien dans l'ensemble pour un renseignement ponctuel.,1.6.1
App Store,2025-12-05,5,Le best,1.6.0
Google Play,2025-12-05,5,rapide et pertinent. avis exprimés dans un bon français.,1.6.1
Google Play,2025-12-05,5,"Le CHAT n'a ABSOLUMENT Rien a envier à ChatGPT interface simple, agréable et en plus chers amis c'est Français alors encourageons nôtre économie. Voilà ! 😎",1.6.1
Google Play,2025-12-05,5,Resultats impressionnants !,1.6.1
Google Play,2025-12-05,5,"Ces réponses st structurées, simple de compréhension et j'aime bcp les échanges IA/humain de cette appli. De plus, le fait qu'elle soit française me rassure plus que ttes les autres IA, que j'utilise aussi ms en comparraison le Chat est celle qui m'est le plus adapté et dt je ne vérifie pas les réponses!!!",1.6.1
Google Play,2025-12-05,5,ABSOLUTE CINEMA 🙌🏽,1.6.1
App Store,2025-12-05,5,"Réponse rapide, concis et juste",1.6.0
App Store,2025-12-04,5,"Mistral IA va au delà du « simple » LLM. Modulable et à la pointe des dernières innovations, il permet d’organiser simplement ses sujets et d’explorer en permanence de nouveaux usages. À tester d’urgence !",1.6.0
App Store,2025-12-04,5,Depuis que les photos sont limités à 1 par jour c’est une très bonne alternative.,1.6.0
App Store,2025-12-04,5,Pour avoir testé  les memes sujets avec d’autres A I je ne conserve que le Chat by Mistral AI,1.6.0
App Store,2025-12-04,5,"Les informations données sont très précises et documentées. En moyenne avec 3 questions successives, j’ai eu des retours très pertinents et utiles.",1.6.0
Google Play,2025-12-04,4,"La réponse est vraiment à la hauteur de mes attentes, à savoir une synthèse des différents courants philosophiques, il me reste désormais à creuser le sujet...",1.1.21
Google Play,2025-12-04,5,bien mieux que gemini comme reponse,1.4.0
Google Play,2025-12-04,5,très satisfait de l'utilisation de Le Chat. de plus en plus performant. content aussi que ce soit une entreprise Française.,1.6.1
Google Play,2025-12-04,5,Super. Et qui ne vole pas nos données. Et qui est européen.,1.6.1
Google Play,2025-12-04,5,outil très efficace qui me sert toujours pour confirmer mes sources ou à les compléter. merci,1.6.1
Google Play,2025-12-04,5,"J'attendais avec impatience son arrivée sur smartphone. Enfin une intelligence artificielle sur mobile en open source, et très performante qui plus est.",1.6.1
Google Play,2025-12-04,5,Le chat est une intelligence artificielle parfaite qui repond a toute nos questions et n oublie aucun details . pour t'aider à trouver des informations. il est tout aussi performent en disant toute les possibilités les choix a faire selon le cas particulier c est vraiment parfait,1.6.1
